"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 17E (75017)";"420000";"34";"2";"1";"Batignolles (17ème).  Appartement 2 pièces 34 m² avec chambre, salon, cuisine us, wc séparés, salle de bains séparée. Vendu libre ou occupé en meublé actuellement (bail du locataire se termine le 12..."
"ventes-appartements";"Paris 18E (75018)";"490000";"52";"3";"2";"Nous quittons la région et mettons donc en vente notre appartement T3 de 52,25m², qui a été notre résidence principale durant quatre ans.  L'appartement se situe passage Penel, dans le quartier..."
"ventes-appartements";"Paris 12E (75012)";"649000";"62";"3";"2";"Dans  la belle résidence moderne (années 80) située Rue du Rendez-vous (Paris 75012), appartement 2/3 pièces (62 m2). Immeuble sécurisé avec couple de gardiens.  - Appartement au 1er étage avec..."
"ventes-appartements";"Paris 20E (75020)";"735000";"85";"4";"3";"4 pièces (3 chambres )  85 m²  Rue des Lyanes. 75020  Appartement de standing 85m2 . tous commerces ,écoles , transports, à proximité Calme, ensoleillé , sur grand Parc sans vis-à-vis (pour chambres..."
"ventes-appartements";"Paris 10E (75010)";"199000";"19";"1";"";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à..."
"ventes-appartements";"Paris 3E (75003)";"570000";"36";"2";"1";"Deux pièces très lumineux exposé plein sud, rénové avec architecte au dernier étage – Marais Enfants-Rouges  Au cœur du Marais, secteur Enfants-Rouges / Arts et Métiers, à deux pas de la rue de..."
"ventes-appartements";"Paris 14E (75014)";"360000";"30";"1";"";"Idéal pour un étudiant ou un cadre comme pied à terre parisien.  Quartier Pernety, un secteur très agréable du 14ᵉ arrondissement, vivant et bien pourvu en commodités quotidiennes et loisirs. A..."
"ventes-appartements";"Paris 13E (75013)";"635000";"68";"3";"2";"Un cadre de vie idéal pour un couple ou une famille avec enfants.  Dans le quartier recherché et convivial de Bobillot / Butte-aux-Cailles, à proximité des écoles, commerces, espaces verts et..."
"ventes-appartements";"Paris 16E (75016)";"1690000";"132";"5";"3";"À vendre – Appartement 5 pièces de 132 m² – Immeuble de haut standing – Paris 16ᵉ (Rue Dufrénoy)  Prix : 1 690 000 Eu  Étage : 5ᵉ avec ascenseur  Usage mixte : habitation ou professionnel (avocat,..."
"ventes-appartements";"Paris 4E (75004)";"998000";"66";"3";"2";"3 pièces quartier Hôtel de Ville - Paris 4.  Dans le quartier St-Merry proche métro Hôtel de Ville, ce 3 pièces de 66,27 m2 est très bien agencé sans perte d'espace.  Il a toutes les commodités et..."
"ventes-appartements";"Paris 4E (75004)";"1180000";"89";"3";"2";"Duplex 3 pièces (possible 4) 88,5 m² – Marais / Place des Vosges.  À deux pas de la Place des Vosges, au cœur du Marais, superbe duplex de 88.5 m² entièrement refait à neuf à l'été 2025 avec fenêtres..."
"ventes-appartements";"Paris 5E (75005)";"1030000";"84.40";"5";"3";"À VENDRE – Paris 5ᵉ – Rue Claude-Bernard Appartement familial de charme – 5 pièces – 84,40 m² Prix : 1 030 000 € 12 203 €/m² Idéalement situé au cœur du 5ᵉ arrondissement, à proximité immédiate..."
"ventes-appartements";"Paris 6E (75006)";"450000";"22";"1";"";"Studio de standing situé dans le 6ème arrondissement, en plein cœur du quartier historique de la Monnaie. Il se trouve à proximité de toutes les commodités (métro Odéon et commerces à 3 min à pied)..."
"ventes-appartements";"Paris 7E (75007)";"295000";"25";"1";"";"À deux pas du métro École Militaire - emplacement exceptionnel.  Idéalement situé au cœur du quartier prisé du Gros Caillou, dans le 7ᵉ arrondissement de Paris, ce studio de 25 m² vous offre un cadre..."
"ventes-appartements";"Paris 7E (75007)";"240000";"12";"1";"";"Rare - Studio étudiant au calme, boulevard St-Germain, à deux pas de Sciences-Po, des Beaux-Arts, de Penninghen ou La Sorbonne. Emplacement exceptionnel au coeur de la vie parisienne, boulevard..."
"ventes-appartements";"Paris 7E (75007)";"1690000";"145";"5";"3";"Paris 7e – Daniel Lesueur.  Dans un immeuble de 1924 entretenu et doté d’une gardienne à demeure avec accès sécurisé par interphone, ce bien de 145 m² se situe dans un environnement à la fois central..."
