ville,code_postal,departement,type_bien,type_transaction,source,surface,prix,nb_pieces,nb_chambres,prix_m2,prix_m2_predit,ecart_pct,score_marche
Morne,97111,97,Maison,vente,orpi,162.0,299000.0,6.0,1.0,1845.68,2564.03,-28.02,Sous-evalue
Fontaine,91690,91,Maison,vente,orpi,103.0,299000.0,4.0,1.0,2902.91,2947.91,-1.53,Prix marche
Lille,59000,59,Maison,vente,orpi,95.0,299000.0,5.0,1.0,3147.37,2992.78,5.17,Prix marche
Sainte,97180,97,Maison,vente,orpi,91.0,299000.0,5.0,1.0,3285.71,2992.78,9.79,Prix marche
Pechbusque,31320,31,Maison,vente,orpi,68.0,299000.0,4.0,1.0,4397.06,2992.78,46.92,Sur-evalue
Taverny,95150,95,Maison,vente,orpi,99.0,285000.0,4.0,1.0,2878.79,2992.78,-3.81,Prix marche
Noisy-le-sec,93130,93,Maison,vente,pap,106.0,269890.0,3.0,4.0,2546.13,3923.88,-35.11,Sous-evalue
Yerres,91330,91,Maison,vente,orpi,58.0,269000.0,3.0,1.0,4637.93,3304.7,40.34,Sur-evalue
Poussan,34560,34,Maison,vente,orpi,85.0,265000.0,4.0,1.0,3117.65,2992.78,4.17,Prix marche
Moulins,57160,57,Maison,vente,orpi,140.0,259000.0,6.0,1.0,1850.0,2651.78,-30.24,Sous-evalue
Tourcoing,59200,59,Maison,vente,orpi,160.0,249000.0,5.0,1.0,1556.25,2860.15,-45.59,Sous-evalue
Audenge,33980,33,Maison,vente,orpi,65.0,243800.0,4.0,1.0,3750.77,3312.79,13.22,Prix marche
Tourcoing,59200,59,Maison,vente,orpi,114.0,239000.0,4.0,1.0,2096.49,2947.91,-28.88,Sous-evalue
Elven,56250,56,Maison,vente,orpi,65.0,232100.0,3.0,1.0,3570.77,2992.78,19.31,Sur-evalue
Vitry,62490,62,Maison,vente,orpi,93.0,211090.0,3.0,1.0,2269.78,2756.07,-17.64,Sous-evalue
Tremblay,93290,93,Maison,vente,orpi,47.0,189000.0,2.0,1.0,4021.28,3649.08,10.2,Prix marche
Toulouse,31200,31,Maison,vente,orpi,72.0,181000.0,3.0,1.0,2513.89,2992.78,-16.0,Sous-evalue
Dombasle,54110,54,Maison,vente,orpi,109.0,165000.0,4.0,1.0,1513.76,2947.91,-48.65,Sous-evalue
Pont-de-l'arche,27340,27,Maison,vente,entreparticuliers,65.0,160000.0,3.0,1.0,2461.54,4011.5,-38.64,Sous-evalue
Le Moule,97160,97,Maison,vente,orpi,89.0,145000.0,4.0,1.0,1629.21,2992.78,-45.56,Sous-evalue
Saint,63700,63,Maison,vente,orpi,112.0,120000.0,5.0,1.0,1071.43,2947.91,-63.65,Sous-evalue
La Grand,30110,30,Maison,vente,orpi,71.0,115000.0,3.0,1.0,1619.72,2992.78,-45.88,Sous-evalue
Tanques,61150,61,Maison,vente,orpi,87.0,44000.0,3.0,1.0,505.75,2489.89,-79.69,Sous-evalue
Paris,75012,75,Appartement,vente,pap,115.6,1110000.0,5.0,3.0,9603.74,10677.98,-10.06,Prix marche
Paris,75005,75,Appartement,vente,pap,84.4,1030000.0,5.0,3.0,12203.79,10722.85,13.81,Prix marche
Paris,75010,75,Appartement,vente,pap,85.3,925000.0,4.0,2.0,10845.35,10722.85,1.14,Prix marche
Paris,75010,75,Appartement,vente,pap,67.0,800000.0,4.0,2.0,11940.3,10722.85,11.35,Prix marche
Charenton,94220,94,Appartement,vente,orpi,93.0,799000.0,4.0,1.0,8591.4,4171.49,105.96,Sur-evalue
Paris,75006,75,Appartement,vente,pap,49.8,765000.0,3.0,1.0,15361.45,11034.78,39.21,Sur-evalue
Paris,75001,75,Appartement,vente,entreparticuliers,68.0,750000.0,2.0,1.0,11029.41,10722.85,2.86,Prix marche
Paris,75020,75,Appartement,vente,pap,85.0,735000.0,4.0,3.0,8647.06,10722.85,-19.36,Sous-evalue
Toulouse,31000,31,Appartement,vente,pap,112.2,695000.0,5.0,3.0,6193.19,3966.63,56.13,Sur-evalue
Paris,75017,75,Appartement,vente,pap,63.0,695000.0,3.0,2.0,11031.75,11034.78,-0.03,Prix marche
Paris,75014,75,Appartement,vente,pap,83.0,685000.0,4.0,2.0,8253.01,10722.85,-23.03,Sous-evalue
Paris,75001,75,Appartement,vente,entreparticuliers,55.0,648000.0,3.0,1.0,11781.82,11034.78,6.77,Prix marche
Paris,75016,75,Appartement,vente,pap,60.0,640000.0,3.0,2.0,10666.67,11034.78,-3.34,Prix marche
Antibes,06600,06,Appartement,vente,pap,121.0,605000.0,5.0,2.0,5000.0,5217.71,-4.17,Prix marche
Clichy,92110,92,Appartement,vente,pap,105.1,599000.0,5.0,4.0,5699.88,6402.06,-10.97,Prix marche
Paris,75019,75,Appartement,vente,pap,90.0,599000.0,3.0,2.0,6655.56,10722.85,-37.93,Sous-evalue
Pantin,93500,93,Appartement,vente,pap,83.0,579000.0,3.0,2.0,6975.9,4205.8,65.86,Sur-evalue
Paris,75004,75,Appartement,vente,pap,45.0,560000.0,3.0,2.0,12444.44,11184.85,11.26,Prix marche
Bordeaux,33000,33,Appartement,vente,pap,100.1,550000.0,5.0,3.0,5494.51,4331.51,26.85,Sur-evalue
Metz,57000,57,Appartement,vente,pap,98.5,550000.0,3.0,2.0,5583.76,4011.5,39.19,Sur-evalue
Bayeux,14400,14,Appartement,vente,entreparticuliers,208.0,520000.0,9.0,1.0,2500.0,3138.41,-20.34,Sous-evalue
Garches,92380,92,Appartement,vente,pap,104.0,520000.0,5.0,3.0,5000.0,6402.06,-21.9,Sous-evalue
Paris,75020,75,Appartement,vente,pap,53.0,520000.0,3.0,2.0,9811.32,11034.78,-11.09,Prix marche
Paris,75011,75,Appartement,vente,pap,42.0,510000.0,3.0,2.0,12142.86,11184.85,8.57,Prix marche
Vanves,92170,92,Appartement,vente,orpi,76.0,499000.0,3.0,1.0,6565.79,6446.93,1.84,Prix marche
Bois-colombes,92270,92,Appartement,vente,pap,71.0,499000.0,3.0,2.0,7028.17,6446.93,9.02,Prix marche
Saint-paul,97400,97,Appartement,vente,pap,90.0,498000.0,4.0,3.0,5533.33,4011.5,37.94,Sur-evalue
Paris,75015,75,Appartement,vente,pap,53.0,490000.0,2.0,1.0,9245.28,11034.78,-16.22,Sous-evalue
Paris,75018,75,Appartement,vente,pap,52.0,490000.0,3.0,2.0,9423.08,11034.78,-14.61,Prix marche
Boulogne-billancourt,92100,92,Appartement,vente,pap,48.2,480000.0,3.0,2.0,9950.25,6908.93,44.02,Sur-evalue
Paris,75011,75,Appartement,vente,pap,43.5,470000.0,2.0,1.0,10804.6,11184.85,-3.4,Prix marche
Paris,75013,75,Appartement,vente,pap,53.0,460000.0,2.0,1.0,8679.25,11034.78,-21.35,Sous-evalue
Saint-maur-des-fossés,94100,94,Appartement,vente,pap,66.6,459000.0,3.0,2.0,6888.79,4720.32,45.94,Sur-evalue
Uzès,30700,30,Appartement,vente,pap,76.0,458000.0,2.0,1.0,6026.32,4011.5,50.23,Sur-evalue
Paris,75013,75,Appartement,vente,pap,42.0,450000.0,2.0,1.0,10714.29,11184.85,-4.21,Prix marche
Lyon,69005,69,Appartement,vente,pap,93.0,430000.0,4.0,3.0,4623.66,4011.5,15.26,Sur-evalue
Paris,75020,75,Appartement,vente,pap,45.0,415000.0,2.0,1.0,9214.03,11184.85,-17.62,Sous-evalue
Paris,75016,75,Appartement,vente,pap,32.0,415000.0,1.0,1.0,12968.75,11270.7,15.07,Sur-evalue
Garenne-colombes,92250,92,Appartement,vente,pap,59.0,400000.0,3.0,2.0,6779.66,6758.86,0.31,Prix marche
Paris,75013,75,Appartement,vente,pap,29.1,399000.0,1.0,1.0,13711.34,11270.7,21.65,Sur-evalue
Châtenay-malabry,92290,92,Appartement,vente,entreparticuliers,60.0,383000.0,3.0,1.0,6383.33,6758.86,-5.56,Prix marche
Paris,75019,75,Appartement,vente,pap,40.0,379000.0,2.0,1.0,9475.0,11184.85,-15.29,Sous-evalue
Paris,75014,75,Appartement,vente,pap,30.0,360000.0,1.0,1.0,12000.0,11270.7,6.47,Prix marche
Paris,75003,75,Appartement,vente,pap,32.0,359000.0,2.0,1.0,11218.75,11270.7,-0.46,Prix marche
Aubervilliers,93300,93,Appartement,vente,pap,61.1,349000.0,3.0,2.0,5711.95,4517.73,26.43,Sur-evalue
Paris,75019,75,Appartement,vente,pap,29.0,334620.0,2.0,1.0,11538.62,11270.7,2.38,Prix marche
Paris,75019,75,Appartement,vente,pap,27.0,329000.0,2.0,1.0,12185.19,11270.7,8.11,Prix marche
Paris,75019,75,Appartement,vente,pap,46.2,328000.0,2.0,1.0,7099.57,11184.85,-36.53,Sous-evalue
Gif-sur-yvette,91190,91,Appartement,vente,entreparticuliers,69.0,315000.0,3.0,1.0,4565.22,4011.5,13.8,Prix marche
Chambéry,73000,73,Appartement,vente,entreparticuliers,85.0,299000.0,4.0,1.0,3517.65,4011.5,-12.31,Prix marche
Brignais,69530,69,Appartement,vente,pap,81.0,299000.0,4.0,3.0,3691.36,4011.5,-7.98,Prix marche
Alby-sur-chéran,74540,74,Appartement,vente,pap,81.0,299000.0,4.0,3.0,3691.36,4811.2,-23.28,Sous-evalue
Marseille,13001,13,Appartement,vente,entreparticuliers,62.0,298000.0,3.0,1.0,4806.45,4323.42,11.17,Prix marche
Vitry-sur-seine,94400,94,Appartement,vente,pap,67.0,295000.0,3.0,2.0,4402.99,4720.32,-6.72,Prix marche
Paris,75010,75,Appartement,vente,pap,27.6,295000.0,2.0,1.0,10688.41,11270.7,-5.17,Prix marche
Paris,75007,75,Appartement,vente,pap,25.0,295000.0,1.0,1.0,11800.0,11270.7,4.7,Prix marche
Paris,75011,75,Appartement,vente,pap,39.0,290000.0,2.0,1.0,7435.9,11184.85,-33.52,Sous-evalue
Strasbourg,67000,67,Appartement,vente,orpi,70.0,289900.0,3.0,1.0,4141.43,2992.78,38.38,Sur-evalue
Reims,51100,51,Appartement,vente,orpi,128.0,280000.0,6.0,1.0,2187.5,2553.07,-14.32,Prix marche
Paris,75012,75,Appartement,vente,pap,27.0,272000.0,2.0,1.0,10074.07,11270.7,-10.62,Prix marche
Paris,75011,75,Appartement,vente,pap,20.3,270000.0,2.0,1.0,13293.94,11270.7,17.95,Sur-evalue
Ostwald,67540,67,Appartement,vente,orpi,65.0,269000.0,3.0,1.0,4138.46,2992.78,38.28,Sur-evalue
Paris,75006,75,Appartement,vente,pap,12.1,252000.0,1.0,1.0,20878.21,11270.7,85.24,Sur-evalue
