type_transaction,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,source
location,Maison,1300.0,220.0,6.0,4.0,Saint-saulve,59880,"Saint Saulve à 50 km de Lille, et à 110 km de Bruxelles. Loue une maison avec jardin. 2 garages et 2 places de parking, grands volumes. Aucune mitoyenneté.   Quartier tranquille et agréable.  10...",pap
location,Maison,1300.0,110.0,3.0,2.0,Fontarèches,30580,Villa de 110 m2 construite en 2024 sur la commune de Fontarèches (30580) Équipée d’un chauffage et climatisation gainable Des panneaux solaires permettent une faible consommation d’électricité Il y a...,pap
location,Maison,1250.0,40.0,2.0,1.0,Nanterre,92000,"Petite maison  de ville   mitoyenne  de 40 m² , quartier du Mont-Valérien ; Bus et RER à proximité , quartier résidentiel calme  et  commerces et écoles  à proximité ; chauffage électrique. Cuisine...",pap
location,Maison,1230.0,98.0,4.0,2.0,Brillon,59178,"Maison très récente , plain pied en campagne , meublé, à proximité de l'école et des commerces. A 20 minutes de Lille et Valenciennes. Maison sur 500 m², jardin et terrasse, carport et portail...",pap
location,Maison,1200.0,95.0,3.0,2.0,Silly-tillard,60430,"Située au cœur d'un hameau protégé et authentique, à 50m d'une chanterie classée, **maison meublée, récemment rénovée**. Chauffage principalement au poêle à bois avec des radiateurs électriques dans...",pap
location,Maison,1195.0,80.0,4.0,,Romans,26100,"Maison À Louer. À Romans-sur-Isère, au cœur d'un quartier calme et agréable, découvrez cette belle villa neuve de plain-pied d'une superficie de 80 m².",orpi
location,Maison,1160.0,74.0,3.0,,Coulommiers,77120,"MAISON F4 avec terrain COULOMMIERS GARE. Maison F4 de 74.38m² composée à l'étage d'une entrée avec placard, donnant sur le séjour avec cuisine ouverte aménagée, une salle d'eau et un WC séparé. Au deuxième se trouvent deux chambres, un bureau et une salle d'eau avec WC.",orpi
location,Maison,1150.0,122.0,5.0,3.0,Fourquevaux,31450,"Maison 6 pièces 122 m², Fourquevaux sur terrain 3000 m²,  chauffage électrique avec climatiseur réversible, calme.  3 chambres, véranda + 2 terrasses, salle de bain, wc séparé, cuisine équipée, four,...",pap
location,Maison,1130.0,92.0,5.0,,Saint-quentin-la-poterie,30700,,entreparticuliers
location,Maison,1100.0,70.0,3.0,2.0,Bégaar,40400,Maison  dans un environnement très calme et naturel / bord d' Adour. Propriété totale de 3 ha. **Décoration soignée** : parquet chaleureux dans toutes les pièces /salon cathédrale avec canapé lit /...,pap
location,Maison,1015.0,85.0,3.0,,Villeneuve,4180,,orpi
location,Maison,910.0,73.0,3.0,2.0,Nogent-le-roi,28210,"Dans ferme ancienne entièrement rénovée, appartement sur 2 niveaux, 71 m2 + terrasse 33 m2 et jardin privatif 60 m2, **très calme et lumineux, sans vis-à-vis**. Entièrement isolé, double vitrage,...",pap
location,Maison,910.0,57.0,3.0,,Lizy,77440,"Dans le centre ville de Lizy sur Ourcq, nous vous proposons une maison de ville de type trois pièces comprenant au rez-de-chaussée : une entrée sur un séjour et une cuisine.",orpi
location,Maison,895.0,112.0,5.0,,Saint,7230,"Maison À Louer meublée 112 M² secteur LABALCHERE / JOYEUSE. Située sur la commune de SAINT-ANDRE-LACHAMP (07230), à 15 minutes des commodités, charmante maison en pierre avec terrasse et vue sur la campagne environnante.",orpi
location,Maison,879.0,84.0,4.0,3.0,Taupont,56800,"Maison entièrement rénovée située à Taupont, au calme.  Surface : 83 m² habitables (88 m² au sol).  Composition : -3 chambres dont 1 au rez-de-chaussée -Cuisine aménagée -Salle de bain avec douche,...",pap
location,Maison,875.0,65.0,4.0,2.0,Saâne-saint-just,76730,Cette maison a été un gîte rural pendant une trentaine d'années. Nous avons arrêté notre activité de location saisonnière il y a deux ans et depuis elle est proposée à la location longue durée.  La...,pap
location,Maison,860.0,120.0,5.0,3.0,Saint-ouen-sur-iton,61300,"À 3 km l'aigle dans l'Orne petite ville de 8000 habitants avec toutes les commodités : gare SNCF, plusieurs trains pour Paris par jour, piscine, grand cinéma, restaurants, golf équitation etc.…, aux...",pap
location,Maison,860.0,55.0,3.0,,Veneux,77250,,orpi
location,Maison,850.0,50.0,3.0,2.0,Amboise,37400,"**Maison Meublée avec stationnement**.   Amboise centre – 7 min à pied de la place du château.  Maison de 50 m2, au calme avec terrasse ensoleillée et jardin clôturé. Rdc : la pièce principale offre...",pap
location,Maison,849.0,95.0,4.0,3.0,Ruillé-froid-fonds,53170,"Maison T4 rénovée – 95 m² – Jardin 1000 m² – Calme campagne   Située à Ruillé-Froid-Fonds (53170), à seulement 7 minutes de Meslay-du-Maine.   Maison mitoyenne entièrement rénovée en 2025, dans un...",pap
location,Maison,840.0,66.0,4.0,3.0,Gien,45500,"Charmante maison de ville avec cour privée – Centre de Gien  Idéalement située en plein cœur de Gien, à proximité immédiate des écoles, collèges, lycées et commerces, cette maison de 66 m² offre un...",pap
location,Maison,820.0,110.0,4.0,,Saint,87590,Maison de campagne à Saint-Just-le-Martel . Envie de calme et de tranquillité ? Découvrez cette charmante maison de 110 m² située dans un environnement paisible,orpi
location,Maison,820.0,70.0,4.0,,Trévérien,35190,,entreparticuliers
location,Maison,800.0,85.0,4.0,2.0,Plouha,22580,Maison individuelle non meublée à louer 5 rue Charles le Goffic Plouha 22580 Surface habitable: 85 m² 1 niveau 2 chambres (étage) 2 salles de bain (étage / rez-de-chaussée) Mode de chauffage :...,pap
location,Maison,790.0,42.0,2.0,1.0,Houlme,76770,"**Maison de ville neuve avec jardinet + place de parking.**  Petite maison mitoyenne entièrement réhabilitée à neuf, sur 2 niveaux, située dans une résidence au Houlme.  Première mise en location...",pap
location,Maison,760.0,80.0,3.0,,Saint-sauvant,17610,,entreparticuliers
location,Maison,760.0,70.0,4.0,2.0,Touvois,44650,"À louer, maison de bourg meublée d’environ 70 m², située au cœur de Touvois, en fond de cour, au calme, refaite en grande partie fin 2024.  Au rez-de-chaussée : Cuisine aménagée et équipée refaite...",pap
location,Maison,750.0,30.0,2.0,1.0,Pouliguen,44510,"Maisonnette plain-pied disponible dès septembre 2026 jusqu'à juin 2027. À proximité de la plage du Nau et du bois. Proches commerces, centre et port.",pap
location,Maison,730.0,60.0,3.0,,Menton,6500,,entreparticuliers
